model,model_display_name,question_id,type,question,gold_answer,gold_answer_text,predicted_answer,predicted_answer_text,model_response
kimi-k2.5,Kimi-K2.5,43,方剂组成补全,请补全方剂“增损当归丸”缺失的药材：四物汤、____、独活、全蝎、续断、川楝子、延胡索、木香、丁香、小茴香,A,防风,B,芦荟,B
deepseek-v3.2,DeepSeek-V3.2,16,方剂组成补全,请补全方剂“半夏泻心汤”缺失的药材：____、黄芩、干姜、人参、甘草、黄连、大枣,A,半夏,,,
deepseek-v3.2,DeepSeek-V3.2,25,方剂组成补全,请补全方剂“天王补心丹”缺失的药材：人参、当归、五味子、麦冬、天冬、柏子仁、酸枣仁、白茯苓、玄参、丹参、____、远志、地黄、黄连,D,桔梗,,,
deepseek-v3.2,DeepSeek-V3.2,40,方剂组成补全,请补全方剂“朱砂安神丸”缺失的药材：朱砂、黄连、____、当归、甘草,B,地黄,,,
deepseek-v3.2,DeepSeek-V3.2,58,方剂组成补全,请补全方剂“健脾丸”缺失的药材：白术、木香、黄连、甘草、白茯苓、人参、____、陈皮、砂仁、麦芽、山药、肉豆蔻,D,神曲,,,
deepseek-v3.2,DeepSeek-V3.2,60,方剂组成补全,请补全方剂“控涎丹”缺失的药材：甘遂、____、白芥子,A,京大戟,,,
deepseek-v3.2,DeepSeek-V3.2,70,方剂组成补全,请补全方剂“三物白散”缺失的药材：桔梗、巴豆、____,D,川贝母,B,大皂角,B
deepseek-v3.2,DeepSeek-V3.2,81,方剂组成补全,请补全方剂“橘皮竹茹汤”缺失的药材：____、竹茹、大枣、生姜、甘草、人参,C,陈皮,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,1,方剂组成补全,请补全方剂“苓桂术甘汤”缺失的药材：茯苓、桂枝、____、甘草,D,白术,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,6,方剂组成补全,请补全方剂“枳术丸”缺失的药材：____、白术,C,枳实,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,9,方剂组成补全,请补全方剂“疏凿饮子”缺失的药材：羌活、____、大腹皮、茯苓皮、花椒、木通、泽泻、商陆、赤小豆,B,槟榔,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,B,延胡索,B
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,44,方剂组成补全,请补全方剂“人参养荣汤”缺失的药材：白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、____,D,五味子,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,49,方剂组成补全,请补全方剂“防己黄芪汤”缺失的药材：防己、甘草、白术、____,C,黄芪,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,63,方剂组成补全,请补全方剂“逍遥散”缺失的药材：柴胡、当归、白芍、白术、____、甘草、炮姜、薄荷,C,茯苓,,,
claude-sonnet-4-6,Claude-Sonnet-4.6,38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,B,延胡索,B
claude-sonnet-4-6,Claude-Sonnet-4.6,43,方剂组成补全,请补全方剂“增损当归丸”缺失的药材：四物汤、____、独活、全蝎、续断、川楝子、延胡索、木香、丁香、小茴香,A,防风,B,芦荟,B
claude-sonnet-4-6,Claude-Sonnet-4.6,91,方剂组成补全,请补全方剂“白虎汤”缺失的药材：石膏、知母、甘草、粳米、____,A,人参,D,野菊花,"D

Wait, let me reconsider. 白虎汤 consists of 石膏、知母、甘草、粳米 - that's the complete formula with 4 ingredients. There's no fifth ingredient in the basic 白虎汤.

The question asks to complete the formula with a missing ingredient, but 白虎汤 only has these 4 ingredients. However, 白虎加人参汤 adds 人参.

A"
qwen3.5-plus,Qwen3.5-Plus,33,方剂组成补全,请补全方剂“清肺汤”缺失的药材：薏苡仁、____、苦杏仁、冬瓜仁、凤凰衣,C,防己,A,华山参,A
qwen3.5-plus,Qwen3.5-Plus,38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,B,延胡索,B
qwen3.5-plus,Qwen3.5-Plus,92,方剂组成补全,请补全方剂“针头丸”缺失的药材：川乌、____、硼砂,D,白僵蚕,A,蜀漆,A
zhongjing,仲景,7,方剂组成补全,请补全方剂“散聚汤”缺失的药材：半夏、槟榔、当归、陈皮、苦杏仁、桂心、____、甘草、附子、川芎、枳壳、厚朴、吴茱萸,D,茯苓,A,瓜蒌子,A
zhongjing,仲景,8,方剂组成补全,请补全方剂“温经汤”缺失的药材：吴茱萸、当归、____、川芎、麦冬、半夏、人参、阿胶、桂枝、牡丹皮、生姜、甘草,D,芍药,C,胖大海,C
zhongjing,仲景,9,方剂组成补全,请补全方剂“疏凿饮子”缺失的药材：羌活、____、大腹皮、茯苓皮、花椒、木通、泽泻、商陆、赤小豆,B,槟榔,A,猪苓,A
zhongjing,仲景,10,方剂组成补全,请补全方剂“小续命汤”缺失的药材：麻黄、防己、人参、黄芩、肉桂、甘草、____、川芎、苦杏仁、附子、防风、生姜,C,白芍,A,紫河车,A
zhongjing,仲景,11,方剂组成补全,请补全方剂“鳖甲煎丸”缺失的药材：鳖甲、射干、黄芩、柴胡、鼠妇、干姜、大黄、芍药、桂枝、葶苈子、石韦、厚朴、牡丹皮、____、凌霄花、半夏、人参、土鳖虫、阿胶、蜂房、赤硝、蜣螂、桃仁,B,瞿麦,,,本题考查中药方剂的组成。鳖甲煎丸由鳖甲、射干、黄芩、柴胡、鼠妇、干姜、
zhongjing,仲景,13,方剂组成补全,请补全方剂“柴胡桂枝干姜汤”缺失的药材：柴胡、桂枝、干姜、天花粉、____、牡蛎、甘草,D,黄芩,A,连翘,A
zhongjing,仲景,18,方剂组成补全,请补全方剂“竹叶石膏汤”缺失的药材：淡竹叶、石膏、半夏、人参、麦冬、甘草、____,B,粳米,C,蛤壳,C
zhongjing,仲景,21,方剂组成补全,请补全方剂“抵当汤”缺失的药材：____、虻虫、桃仁、大黄,C,水蛭,B,牡丹皮,B
zhongjing,仲景,23,方剂组成补全,请补全方剂“乌梅丸”缺失的药材：乌梅、细辛、干姜、当归、附子、____、黄柏、黄连、人参、花椒,D,桂枝,C,炮姜,C
zhongjing,仲景,24,方剂组成补全,请补全方剂“苦酒汤”缺失的药材：半夏、鸡子白、____,D,醋,B,瓜蒌子,B
zhongjing,仲景,25,方剂组成补全,请补全方剂“天王补心丹”缺失的药材：人参、当归、五味子、麦冬、天冬、柏子仁、酸枣仁、白茯苓、玄参、丹参、____、远志、地黄、黄连,D,桔梗,C,白土茯苓,C
zhongjing,仲景,28,方剂组成补全,请补全方剂“柴胡陷胸汤”缺失的药材：柴胡、半夏、黄连、桔梗、黄芩、____、枳实、生姜,C,瓜蒌子,A,泽泻,A
zhongjing,仲景,29,方剂组成补全,请补全方剂“清燥救肺汤”缺失的药材：桑叶、石膏、甘草、黑芝麻、人参、苦杏仁、阿胶、____、枇杷叶,B,麦冬,C,楮实子,C
zhongjing,仲景,32,方剂组成补全,请补全方剂“葛花解酒汤”缺失的药材：青皮、木香、橘红、____、猪苓、白茯苓、神曲、泽泻、干姜、白术、白豆蔻、葛花、砂仁,C,人参,A,娑罗子,A
zhongjing,仲景,33,方剂组成补全,请补全方剂“清肺汤”缺失的药材：薏苡仁、____、苦杏仁、冬瓜仁、凤凰衣,C,防己,A,华山参,A
zhongjing,仲景,34,方剂组成补全,请补全方剂“调胃承气汤”缺失的药材：____、甘草、大黄,B,芒硝,A,白石脂,A
zhongjing,仲景,38,方剂组成补全,请补全方剂“三圣散”缺失的药材：没药、琥珀、____,C,西红花,A,全蝎,A
zhongjing,仲景,40,方剂组成补全,请补全方剂“朱砂安神丸”缺失的药材：朱砂、黄连、____、当归、甘草,B,地黄,A,连翘,A
zhongjing,仲景,44,方剂组成补全,请补全方剂“人参养荣汤”缺失的药材：白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、____,D,五味子,C,玉竹,C
zhongjing,仲景,45,方剂组成补全,请补全方剂“失笑散”缺失的药材：蒲黄、____,D,五灵脂,B,牵牛子,B
zhongjing,仲景,47,方剂组成补全,请补全方剂“茯苓四逆汤”缺失的药材：茯苓、____、附子、甘草、干姜,D,人参,A,白茯苓,A
zhongjing,仲景,48,方剂组成补全,请补全方剂“增损四物汤”缺失的药材：当归、川芎、人参、____、甘草、白芍,D,干姜,B,豹皮樟,B
zhongjing,仲景,50,方剂组成补全,请补全方剂“固经丸”缺失的药材：龟甲、____、芍药、樗白皮、香附、黄芩,D,黄柏,A,赤芍,A
zhongjing,仲景,58,方剂组成补全,请补全方剂“健脾丸”缺失的药材：白术、木香、黄连、甘草、白茯苓、人参、____、陈皮、砂仁、麦芽、山药、肉豆蔻,D,神曲,,,本题考查健脾丸的组成。健脾丸由白术、木香、黄连、甘草、白茯苓、人参、陈
zhongjing,仲景,59,方剂组成补全,请补全方剂“赤丸”缺失的药材：草乌头、____、细辛、半夏,C,茯苓,A,百蕊草,A
zhongjing,仲景,61,方剂组成补全,请补全方剂“金沸草散”缺失的药材：旋覆花、前胡、半夏、荆芥、甘草、赤茯苓、____、赤芍、生姜、大枣,D,麻黄,A,浙贝母,A
zhongjing,仲景,64,方剂组成补全,请补全方剂“泽泻散”缺失的药材：泽泻、桑白皮、____、枳壳、赤茯苓、槟榔,A,木通,C,葶苈子,C
zhongjing,仲景,67,方剂组成补全,请补全方剂“射干麻黄汤”缺失的药材：射干、麻黄、____、细辛、五味子、半夏、紫菀、款冬花、大枣,B,生姜,A,桑螵蛸,A
zhongjing,仲景,70,方剂组成补全,请补全方剂“三物白散”缺失的药材：桔梗、巴豆、____,D,川贝母,C,乳香$没药,C
zhongjing,仲景,72,方剂组成补全,请补全方剂“葛根汤”缺失的药材：葛根、麻黄、桂枝、____、甘草、生姜、大枣,D,芍药,A,豨莶草,A
zhongjing,仲景,75,方剂组成补全,请补全方剂“白通加猪胆汁汤”缺失的药材：____、干姜、附子、人尿、猪胆汁,A,葱白,B,射干,B
zhongjing,仲景,78,方剂组成补全,请补全方剂“栀子柏皮汤”缺失的药材：栀子、甘草、____,B,黄柏,A,升麻,A
zhongjing,仲景,82,方剂组成补全,请补全方剂“清骨散”缺失的药材：银柴胡、____、秦艽、鳖甲、地骨皮、青蒿、知母、甘草,D,胡黄连,A,西河柳,A
zhongjing,仲景,83,方剂组成补全,请补全方剂“三棱煎”缺失的药材：三棱、____、青皮、半夏、麦芽,D,莪术,B,陈皮,B
zhongjing,仲景,85,方剂组成补全,请补全方剂“普济消毒饮”缺失的药材：黄芩、黄连、____、甘草、玄参、柴胡、桔梗、连翘、板蓝根、马勃、牛蒡子、薄荷、僵蚕、升麻,D,陈皮,A,大腹皮,A
zhongjing,仲景,87,方剂组成补全,请补全方剂“燥肠丸”缺失的药材：附子、龙骨、干姜、吴茱萸、罂粟壳、____,C,诃子,A,橘红,A
zhongjing,仲景,88,方剂组成补全,请补全方剂“定喘汤”缺失的药材：白果、麻黄、半夏、____、桑白皮、紫苏子、苦杏仁、黄芩、甘草,D,款冬花,A,梅花,A
zhongjing,仲景,91,方剂组成补全,请补全方剂“白虎汤”缺失的药材：石膏、知母、甘草、粳米、____,A,人参,C,火麻仁,C
zhongjing,仲景,92,方剂组成补全,请补全方剂“针头丸”缺失的药材：川乌、____、硼砂,D,白僵蚕,A,蜀漆,A
zhongjing,仲景,94,方剂组成补全,请补全方剂“清气化痰丸”缺失的药材：陈皮、苦杏仁、枳实、黄芩、瓜蒌子、____、生姜,D,茯苓,B,蛤壳,B
zhongjing,仲景,97,方剂组成补全,请补全方剂“异功散”缺失的药材：人参、茯苓、白术、甘草、____,B,陈皮,A,花椒,A
zhongjing,仲景,98,方剂组成补全,请补全方剂“白通汤”缺失的药材：葱白、干姜、____,C,附子,B,肉桂,B
zhongjing,仲景,99,方剂组成补全,请补全方剂“鸡鸣散”缺失的药材：槟榔、橘红、木瓜、____、紫苏叶、桔梗、生姜,C,吴茱萸,B,桑枝,B
zhongjing,仲景,100,方剂组成补全,请补全方剂“小青龙汤”缺失的药材：____、白芍、细辛、甘草、桂枝、半夏、五味子、干姜,C,麻黄,B,半夏曲,B
