model,model_display_name,question_id,type,question,gold_answer,gold_answer_text,predicted_answer,predicted_answer_text,model_response
o3,O3,13,药材别名识别,下列哪一项是中药“半枝莲”的别名？,A,水韩信,C,剪刀草,C
o3,O3,21,药材别名识别,下列哪一项是中药“商陆”的别名？,A,水萝卜,,,
o3,O3,22,药材别名识别,下列哪一项是中药“茶叶”的别名？,D,郭璞注,A,梭椤子,A
o3,O3,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
o3,O3,32,药材别名识别,下列哪一项是中药“一枝黄花”的别名？,D,朝鲜一枝蒿,A,宛童,A
o3,O3,38,药材别名识别,下列哪一项是中药“杠板归”的别名？,D,烙铁草,B,甘根,B
o3,O3,51,药材别名识别,下列哪一项是中药“淡竹叶”的别名？,B,山冬,C,鼓锤草,C
o3,O3,52,药材别名识别,下列哪一项是中药“白术”的别名？,D,山姜,B,拿子,B
o3,O3,56,药材别名识别,下列哪一项是中药“穿山龙”的别名？,B,黄姜,A,顺江龙,A
o3,O3,59,药材别名识别,下列哪一项是中药“伸筋草”的别名？,D,老虎垫坐,B,蛇粟,B
o3,O3,62,药材别名识别,下列哪一项是中药“茜草”的别名？,D,地血,,,
o3,O3,63,药材别名识别,下列哪一项是中药“忍冬藤”的别名？,D,大薜荔,,,
o3,O3,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,C,因地辛,C
o3,O3,65,药材别名识别,下列哪一项是中药“禹余粮”的别名？,A,石脑,,,
o3,O3,68,药材别名识别,下列哪一项是中药“草血竭”的别名？,A,地蜂子,B,没多僧,B
o3,O3,70,药材别名识别,下列哪一项是中药“甘遂”的别名？,C,白泽,,,
o3,O3,73,药材别名识别,下列哪一项是中药“白花蛇舌草”的别名？,B,奶沙尔,,,
o3,O3,76,药材别名识别,下列哪一项是中药“独活”的别名？,A,山大活,B,鼠矢,B
o3,O3,82,药材别名识别,下列哪一项是中药“白蔹”的别名？,A,野红薯,B,破岩珠,B
o3,O3,83,药材别名识别,下列哪一项是中药“败酱”的别名？,B,白苦爹,A,蒨草,A
o3,O3,84,药材别名识别,下列哪一项是中药“木通”的别名？,B,附支,A,羊不吃,A
o3,O3,85,药材别名识别,下列哪一项是中药“朱砂根”的别名？,D,龙山子,A,江珠,A
o3,O3,86,药材别名识别,下列哪一项是中药“香薷”的别名？,C,蜜蜂草,B,须丸,B
o3,O3,95,药材别名识别,下列哪一项是中药“白蔹”的别名？,A,白浆罐,B,竹节七,B
o3,O3,96,药材别名识别,下列哪一项是中药“射干”的别名？,D,黄知母,B,母鸡带仔,B
kimi-k2.5,Kimi-K2.5,4,药材别名识别,下列哪一项是中药“益母草”的别名？,C,苦低草,A,活血草,A
kimi-k2.5,Kimi-K2.5,10,药材别名识别,下列哪一项是中药“水红花子”的别名？,A,水泻花,B,白葜,B
kimi-k2.5,Kimi-K2.5,21,药材别名识别,下列哪一项是中药“商陆”的别名？,A,水萝卜,D,章瓦,D
kimi-k2.5,Kimi-K2.5,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
kimi-k2.5,Kimi-K2.5,38,药材别名识别,下列哪一项是中药“杠板归”的别名？,D,烙铁草,A,地棠草,A
kimi-k2.5,Kimi-K2.5,51,药材别名识别,下列哪一项是中药“淡竹叶”的别名？,B,山冬,C,鼓锤草,C
kimi-k2.5,Kimi-K2.5,63,药材别名识别,下列哪一项是中药“忍冬藤”的别名？,D,大薜荔,A,九节莲,A
kimi-k2.5,Kimi-K2.5,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,C,因地辛,C
kimi-k2.5,Kimi-K2.5,85,药材别名识别,下列哪一项是中药“朱砂根”的别名？,D,龙山子,B,马蹄草,B
kimi-k2.5,Kimi-K2.5,96,药材别名识别,下列哪一项是中药“射干”的别名？,D,黄知母,,,
deepseek-v3.2,DeepSeek-V3.2,5,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄条香,A,（犭凡）蒿,A
deepseek-v3.2,DeepSeek-V3.2,10,药材别名识别,下列哪一项是中药“水红花子”的别名？,A,水泻花,B,白葜,B
deepseek-v3.2,DeepSeek-V3.2,14,药材别名识别,下列哪一项是中药“白鲜皮”的别名？,A,野花椒根皮,D,黄硇砂,D
deepseek-v3.2,DeepSeek-V3.2,22,药材别名识别,下列哪一项是中药“茶叶”的别名？,D,郭璞注,A,梭椤子,A
deepseek-v3.2,DeepSeek-V3.2,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
deepseek-v3.2,DeepSeek-V3.2,38,药材别名识别,下列哪一项是中药“杠板归”的别名？,D,烙铁草,C,荭草实,C
deepseek-v3.2,DeepSeek-V3.2,56,药材别名识别,下列哪一项是中药“穿山龙”的别名？,B,黄姜,A,顺江龙,A
deepseek-v3.2,DeepSeek-V3.2,63,药材别名识别,下列哪一项是中药“忍冬藤”的别名？,D,大薜荔,A,九节莲,A
deepseek-v3.2,DeepSeek-V3.2,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,C,因地辛,C
deepseek-v3.2,DeepSeek-V3.2,73,药材别名识别,下列哪一项是中药“白花蛇舌草”的别名？,B,奶沙尔,D,燕蕧,D
deepseek-v3.2,DeepSeek-V3.2,85,药材别名识别,下列哪一项是中药“朱砂根”的别名？,D,龙山子,A,江珠,A
deepseek-v3.2,DeepSeek-V3.2,92,药材别名识别,下列哪一项是中药“鱼腥草”的别名？,B,臭腥草,C,红梗草,C
deepseek-v3.2,DeepSeek-V3.2,96,药材别名识别,下列哪一项是中药“射干”的别名？,D,黄知母,B,母鸡带仔,B
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,4,药材别名识别,下列哪一项是中药“益母草”的别名？,C,苦低草,A,活血草,A
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,6,药材别名识别,下列哪一项是中药“珠子参”的别名？,B,白地瓜,A,附支,A
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,9,药材别名识别,下列哪一项是中药“百蕊草”的别名？,A,积药草,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,10,药材别名识别,下列哪一项是中药“水红花子”的别名？,A,水泻花,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,11,药材别名识别,下列哪一项是中药“炉甘石”的别名？,C,羊肝石,A,石髓铅,"炉甘石>的别名"".
    *   Found a match: The answer provided is C. 羊肝石.

    *   Output only the letter.
    *   Letter: C.

    (Self-correction): Just to be absolutely sure, let's check if A is a trap. ""石髓铅"" is a very old name. """
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,40,药材别名识别,下列哪一项是中药“洋金花”的别名？,A,广东闹羊花,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,51,药材别名识别,下列哪一项是中药“淡竹叶”的别名？,B,山冬,C,鼓锤草,C
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,C,因地辛,C
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,73,药材别名识别,下列哪一项是中药“白花蛇舌草”的别名？,B,奶沙尔,C,三眠柳,C
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,79,药材别名识别,下列哪一项是中药“细辛”的别名？,D,小辛,,,
claude-sonnet-4-6,Claude-Sonnet-4.6,4,药材别名识别,下列哪一项是中药“益母草”的别名？,C,苦低草,A,活血草,A
claude-sonnet-4-6,Claude-Sonnet-4.6,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
claude-sonnet-4-6,Claude-Sonnet-4.6,52,药材别名识别,下列哪一项是中药“白术”的别名？,D,山姜,B,拿子,B
claude-sonnet-4-6,Claude-Sonnet-4.6,63,药材别名识别,下列哪一项是中药“忍冬藤”的别名？,D,大薜荔,A,九节莲,A
claude-sonnet-4-6,Claude-Sonnet-4.6,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,C,因地辛,C
claude-sonnet-4-6,Claude-Sonnet-4.6,77,药材别名识别,下列哪一项是中药“马齿苋”的别名？,D,地马莱,,,
claude-sonnet-4-6,Claude-Sonnet-4.6,85,药材别名识别,下列哪一项是中药“朱砂根”的别名？,D,龙山子,C,千斤力,C
claude-sonnet-4-6,Claude-Sonnet-4.6,96,药材别名识别,下列哪一项是中药“射干”的别名？,D,黄知母,B,母鸡带仔,B
claude-sonnet-4-6,Claude-Sonnet-4.6,97,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄根,A,青香藤,A
qwen3.5-plus,Qwen3.5-Plus,2,药材别名识别,下列哪一项是中药“杠板归”的别名？,B,利酸浆,A,斑杖,A
qwen3.5-plus,Qwen3.5-Plus,4,药材别名识别,下列哪一项是中药“益母草”的别名？,C,苦低草,A,活血草,A
qwen3.5-plus,Qwen3.5-Plus,10,药材别名识别,下列哪一项是中药“水红花子”的别名？,A,水泻花,C,刚子,C
qwen3.5-plus,Qwen3.5-Plus,14,药材别名识别,下列哪一项是中药“白鲜皮”的别名？,A,野花椒根皮,C,顺江龙,C
qwen3.5-plus,Qwen3.5-Plus,22,药材别名识别,下列哪一项是中药“茶叶”的别名？,D,郭璞注,,,
qwen3.5-plus,Qwen3.5-Plus,23,药材别名识别,下列哪一项是中药“垂盆草”的别名？,A,佛指甲,,,
qwen3.5-plus,Qwen3.5-Plus,26,药材别名识别,下列哪一项是中药“洋金花”的别名？,B,千叶蔓陀罗花,,,
qwen3.5-plus,Qwen3.5-Plus,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
qwen3.5-plus,Qwen3.5-Plus,32,药材别名识别,下列哪一项是中药“一枝黄花”的别名？,D,朝鲜一枝蒿,C,杜芫,C
qwen3.5-plus,Qwen3.5-Plus,56,药材别名识别,下列哪一项是中药“穿山龙”的别名？,B,黄姜,A,顺江龙,A
qwen3.5-plus,Qwen3.5-Plus,72,药材别名识别,下列哪一项是中药“白鹤灵芝”的别名？,A,癣草,C,续断,C
qwen3.5-plus,Qwen3.5-Plus,73,药材别名识别,下列哪一项是中药“白花蛇舌草”的别名？,B,奶沙尔,D,燕蕧,D
qwen3.5-plus,Qwen3.5-Plus,85,药材别名识别,下列哪一项是中药“朱砂根”的别名？,D,龙山子,C,千斤力,C
qwen3.5-plus,Qwen3.5-Plus,97,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄根,C,串心草,C
baichuan-m3-plus,百川,2,药材别名识别,下列哪一项是中药“杠板归”的别名？,B,利酸浆,A,斑杖,A
baichuan-m3-plus,百川,5,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄条香,C,支连,C
baichuan-m3-plus,百川,6,药材别名识别,下列哪一项是中药“珠子参”的别名？,B,白地瓜,A,附支,A
baichuan-m3-plus,百川,9,药材别名识别,下列哪一项是中药“百蕊草”的别名？,A,积药草,C,马衔,"根据提供的参考资料，中药“百蕊草”在中文中被称为“Bai Rui Cao”（百蕊草）^[1]^。此外，该植物在传统中医中**常被称为“植物抗生素”**（Botanical Antibiotics）^[2]^。

在文献中，**“百蕊草”** 是 Thesium chinense Turcz. 的中文名，其别名并未直接列出选项中的内容。但通过排除法和文献信息分析：

- 文献中提到其**别称是“植物抗生素”**，但此名称不在选项中。
- 选项中的“积药草”、“丝瓜壳”、“马衔”、“马加勒”均未在参考文献中出现。

然而，根据文献中明确指出的名称：

> Thesium chinense Turcz. 是一种多年生半寄生植物，其**全草在中文中称为‘百蕊草’（Bai Rui Cao）**^[1]^。

且在多个文献中，**“百蕊草”是其标准中文名**，而**“马衔”** 在部分传统文献中可能为其他植物的别名。

但结合材料中唯一明确的别名信息是“**植物抗生素**”，而此名称不在选项中。

进一步分析选项，**“马衔”** 在古代本草中有时为其他植物别名，但**在提供的材料中并未提及**。

由于所有选项均未在材料中直接出现，但题目要求选择“百蕊草”的别名，而材料中唯一明确的名称是“**百蕊草**”本身。

综上，**在给定选项中，没有一个被材料直接支持为“百蕊草”的别名**。

但根据传统中药知识，“**马衔**”是“百蕊草”的别名之一。

因此，最合适的答案是：

C"
baichuan-m3-plus,百川,10,药材别名识别,下列哪一项是中药“水红花子”的别名？,A,水泻花,C,刚子,C
baichuan-m3-plus,百川,13,药材别名识别,下列哪一项是中药“半枝莲”的别名？,A,水韩信,C,剪刀草,C
baichuan-m3-plus,百川,18,药材别名识别,下列哪一项是中药“杠板归”的别名？,B,退血草,C,双肾子,C
baichuan-m3-plus,百川,21,药材别名识别,下列哪一项是中药“商陆”的别名？,A,水萝卜,D,章瓦,"根据提供的参考资料，未直接提及“商陆”的别名。但结合通用中医药知识，商陆的别名包括“章柳”“白昌”“章瓦”等。

在选项中，“章瓦”是商陆的别名之一。

D

我建议您进一步查阅商陆的毒性成分、临床安全用量及中毒预防措施的相关研究或药典标准。您需要我帮您检索这方面的权威资料吗？"
baichuan-m3-plus,百川,25,药材别名识别,下列哪一项是中药“款冬花”的别名？,D,艾冬花,A,婪尾春,A
baichuan-m3-plus,百川,27,药材别名识别,下列哪一项是中药“天南星”的别名？,A,山棒子,C,牛虱子,"根据提供的参考资料，无法直接确认“天南星”的别名是选项中的哪一个。材料中提及天南星的植物来源为**天南星科植物天南星、异叶天南星、东北天南星等块茎**，性温，味苦、辛，归肺、肝、脾经，具有**化痰、散结、燥湿、消肿**等功效 ^[3]^。

此外，材料指出**天南星具有明显毒性**，古代文献和现代研究均有记载 ^[2]^。经过**明矾和姜汁或胆汁炮制后，其神经毒性降低，且神经药理作用增强** ^[2]^。

然而，所有参考资料中均未提及“天南星”的别名为“山棒子”“玉蜀黍蕊”“牛虱子”或“蜞”。这些选项均未在文献中出现。

在传统中医药中，“天南星”的常见别名包括“南星”“虎掌南星”等。值得注意的是，**虎掌南星又称为掌叶半夏**，常冒充正品半夏 ^[1]^。

结合选项与常规中药别名知识，“**牛虱子**”在部分地区为天南星的别名之一。

因此，最合适的答案是：

C

我建议您进一步查阅天南星在炮制前后毒性成分的变化及其在临床应用中的安全性评估相关临床指南或系统综述。您需要我帮您检索相关文献吗？"
baichuan-m3-plus,百川,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
baichuan-m3-plus,百川,42,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,蜈蚣草,C,野木瓜,C
baichuan-m3-plus,百川,49,药材别名识别,下列哪一项是中药“狗脊”的别名？,A,狗青,C,棕皮,C
baichuan-m3-plus,百川,57,药材别名识别,下列哪一项是中药“巴豆”的别名？,B,八百力,C,泥冰子,C
baichuan-m3-plus,百川,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,C,因地辛,C
baichuan-m3-plus,百川,68,药材别名识别,下列哪一项是中药“草血竭”的别名？,A,地蜂子,B,没多僧,B
baichuan-m3-plus,百川,70,药材别名识别,下列哪一项是中药“甘遂”的别名？,C,白泽,D,野杉子,D
baichuan-m3-plus,百川,71,药材别名识别,下列哪一项是中药“白屈菜”的别名？,B,黄汤子,D,地骨皮,D
baichuan-m3-plus,百川,72,药材别名识别,下列哪一项是中药“白鹤灵芝”的别名？,A,癣草,D,小红升,D
baichuan-m3-plus,百川,81,药材别名识别,下列哪一项是中药“淫羊藿”的别名？,B,刚前,D,白毛串,D
baichuan-m3-plus,百川,82,药材别名识别,下列哪一项是中药“白蔹”的别名？,A,野红薯,B,破岩珠,B
baichuan-m3-plus,百川,96,药材别名识别,下列哪一项是中药“射干”的别名？,D,黄知母,C,地栗,C
zhongjing,仲景,1,药材别名识别,下列哪一项是中药“蚕沙”的别名？,C,马鸣肝,B,人头七,B
zhongjing,仲景,2,药材别名识别,下列哪一项是中药“杠板归”的别名？,B,利酸浆,A,斑杖,A
zhongjing,仲景,4,药材别名识别,下列哪一项是中药“益母草”的别名？,C,苦低草,A,活血草,A
zhongjing,仲景,5,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄条香,A,（犭凡）蒿,A
zhongjing,仲景,6,药材别名识别,下列哪一项是中药“珠子参”的别名？,B,白地瓜,D,川明参,D
zhongjing,仲景,7,药材别名识别,下列哪一项是中药“樗鸡”的别名？,C,灰花蛾,A,毛锥子,A
zhongjing,仲景,11,药材别名识别,下列哪一项是中药“炉甘石”的别名？,C,羊肝石,D,珍珠母,D
zhongjing,仲景,12,药材别名识别,下列哪一项是中药“商陆”的别名？,B,湿萝卜,A,虎酒草,A
zhongjing,仲景,13,药材别名识别,下列哪一项是中药“半枝莲”的别名？,A,水韩信,C,剪刀草,C
zhongjing,仲景,17,药材别名识别,下列哪一项是中药“大血藤”的别名？,D,过山龙,A,地椒,A
zhongjing,仲景,20,药材别名识别,下列哪一项是中药“伏龙肝”的别名？,D,釜月下土,A,破石珠,A
zhongjing,仲景,21,药材别名识别,下列哪一项是中药“商陆”的别名？,A,水萝卜,D,章瓦,D
zhongjing,仲景,22,药材别名识别,下列哪一项是中药“茶叶”的别名？,D,郭璞注,A,梭椤子,A
zhongjing,仲景,23,药材别名识别,下列哪一项是中药“垂盆草”的别名？,A,佛指甲,C,鸳鸯草,C
zhongjing,仲景,25,药材别名识别,下列哪一项是中药“款冬花”的别名？,D,艾冬花,A,婪尾春,A
zhongjing,仲景,28,药材别名识别,下列哪一项是中药“琥珀”的别名？,C,虎魄,B,石榴壳,B
zhongjing,仲景,30,药材别名识别,下列哪一项是中药“豨莶草”的别名？,D,山甘草,A,猪屎草,A
zhongjing,仲景,32,药材别名识别,下列哪一项是中药“一枝黄花”的别名？,D,朝鲜一枝蒿,A,宛童,A
zhongjing,仲景,33,药材别名识别,下列哪一项是中药“白屈菜”的别名？,D,雄黄草,B,枸茄茄,B
zhongjing,仲景,34,药材别名识别,下列哪一项是中药“桔梗”的别名？,C,符蔰,A,千年树,A
zhongjing,仲景,37,药材别名识别,下列哪一项是中药“茯苓”的别名？,B,不死面,A,鹄壳,A
zhongjing,仲景,38,药材别名识别,下列哪一项是中药“杠板归”的别名？,D,烙铁草,A,地棠草,A
zhongjing,仲景,41,药材别名识别,下列哪一项是中药“山慈菇”的别名？,B,泥冰子,D,犁头刺藤,D
zhongjing,仲景,42,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,蜈蚣草,C,野木瓜,C
zhongjing,仲景,51,药材别名识别,下列哪一项是中药“淡竹叶”的别名？,B,山冬,C,鼓锤草,C
zhongjing,仲景,55,药材别名识别,下列哪一项是中药“薏苡仁”的别名？,B,益米,A,白苕,A
zhongjing,仲景,56,药材别名识别,下列哪一项是中药“穿山龙”的别名？,B,黄姜,A,顺江龙,A
zhongjing,仲景,57,药材别名识别,下列哪一项是中药“巴豆”的别名？,B,八百力,C,泥冰子,C
zhongjing,仲景,58,药材别名识别,下列哪一项是中药“仙鹤草”的别名？,C,路边鸡,A,麝脐香,A
zhongjing,仲景,59,药材别名识别,下列哪一项是中药“伸筋草”的别名？,D,老虎垫坐,A,婆婆丁,A
zhongjing,仲景,60,药材别名识别,下列哪一项是中药“草乌”的别名？,C,乌喙,A,白花树,A
zhongjing,仲景,62,药材别名识别,下列哪一项是中药“茜草”的别名？,D,地血,A,牛尾巴花子,A
zhongjing,仲景,63,药材别名识别,下列哪一项是中药“忍冬藤”的别名？,D,大薜荔,A,九节莲,A
zhongjing,仲景,64,药材别名识别,下列哪一项是中药“徐长卿”的别名？,A,药王,B,香果,B
zhongjing,仲景,70,药材别名识别,下列哪一项是中药“甘遂”的别名？,C,白泽,A,大还魂草,A
zhongjing,仲景,71,药材别名识别,下列哪一项是中药“白屈菜”的别名？,B,黄汤子,D,地骨皮,D
zhongjing,仲景,72,药材别名识别,下列哪一项是中药“白鹤灵芝”的别名？,A,癣草,C,续断,C
zhongjing,仲景,73,药材别名识别,下列哪一项是中药“白花蛇舌草”的别名？,B,奶沙尔,A,猫蓟,A
zhongjing,仲景,75,药材别名识别,下列哪一项是中药“萆薢”的别名？,B,土薯蓣,A,柿钱,A
zhongjing,仲景,77,药材别名识别,下列哪一项是中药“马齿苋”的别名？,D,地马莱,A,红火柴头花,A
zhongjing,仲景,79,药材别名识别,下列哪一项是中药“细辛”的别名？,D,小辛,A,油麻,A
zhongjing,仲景,80,药材别名识别,下列哪一项是中药“香附”的别名？,C,三棱草根,A,蝘,A
zhongjing,仲景,81,药材别名识别,下列哪一项是中药“淫羊藿”的别名？,B,刚前,A,文希,A
zhongjing,仲景,84,药材别名识别,下列哪一项是中药“木通”的别名？,B,附支,C,铜钱柴,C
zhongjing,仲景,85,药材别名识别,下列哪一项是中药“朱砂根”的别名？,D,龙山子,A,江珠,A
zhongjing,仲景,86,药材别名识别,下列哪一项是中药“香薷”的别名？,C,蜜蜂草,A,莱菔子,A
zhongjing,仲景,94,药材别名识别,下列哪一项是中药“黑芝麻”的别名？,D,巨胜,A,领石,A
zhongjing,仲景,96,药材别名识别,下列哪一项是中药“射干”的别名？,D,黄知母,A,苦杏仁,A
zhongjing,仲景,97,药材别名识别,下列哪一项是中药“北豆根”的别名？,B,黄根,A,青香藤,A
zhongjing,仲景,99,药材别名识别,下列哪一项是中药“龙眼肉”的别名？,B,骊珠,A,裸龟巴,A
zhongjing,仲景,100,药材别名识别,下列哪一项是中药“天竺黄”的别名？,D,竹黄,B,漳丹,B
